assertives,bias,positive,negative,pos_effect,neg_effect,factive_verbs,hedges,implicative_verbs,report_verbs
0.1474929,0.1437739,0.10882567,0.12773803,0.12539867,0.12853709,0.14210418,0.14226879,0.1431075,0.14994897
0.14509855,0.1300378,0.10167115,0.10896704,0.121007234,0.11633042,0.14512865,0.14599508,0.1441327,0.13952592
0.1725089,0.15704621,0.13820401,0.1519974,0.14254308,0.14440672,0.1876706,0.17321351,0.17726956,0.15958923
0.15464823,0.134521,0.10796024,0.13010703,0.12440186,0.12595621,0.14005247,0.15218237,0.14531195,0.1457502
0.09784311,0.08928478,0.085784055,0.09467315,0.08999702,0.09650766,0.107192695,0.099688746,0.110770255,0.094210476
0.14418468,0.13269211,0.102052554,0.11088482,0.12131099,0.117826924,0.14500268,0.14696184,0.14496844,0.13934924
0.18325233,0.14242731,0.123506404,0.13656534,0.14215739,0.1440016,0.18622285,0.16560972,0.16968971,0.17195338
0.15974446,0.13227534,0.09569661,0.11223298,0.10626928,0.10878644,0.1322405,0.1567414,0.11921244,0.14276196
0.13896477,0.1312295,0.10095677,0.106140666,0.12105965,0.105274856,0.12974592,0.1253565,0.1312097,0.1326715
0.11053377,0.112812854,0.082589574,0.08237461,0.098061986,0.09453388,0.11117442,0.1122981,0.11566558,0.1068459
0.13903363,0.12418428,0.09367645,0.097132646,0.10746525,0.10425152,0.12619196,0.15372303,0.11811487,0.124437556
0.10802761,0.1194835,0.078521214,0.08750506,0.09329537,0.08960388,0.09978086,0.116698645,0.102913596,0.09889484
0.16965953,0.13919543,0.11454389,0.11562282,0.13712919,0.12568942,0.16990101,0.16370858,0.16724741,0.1563575
0.12815802,0.13010326,0.098206945,0.10538281,0.11073908,0.11035144,0.1283848,0.13974273,0.13036504,0.11918724
0.16349441,0.14770295,0.10967612,0.13616921,0.1191866,0.12977365,0.1407079,0.15618043,0.14002293,0.1527643
0.121108554,0.121540524,0.08961901,0.09736406,0.10164408,0.10036133,0.11857642,0.12559114,0.11652341,0.11385604
0.14734548,0.13097937,0.1299422,0.11618992,0.1299445,0.11780961,0.16150221,0.14624195,0.1467833,0.13941284
0.11142959,0.11114446,0.08806438,0.08582034,0.09950279,0.091691524,0.1115878,0.11149294,0.11149327,0.10305131
0.14777236,0.13590842,0.118329085,0.114292845,0.13710937,0.12715095,0.14801474,0.13345474,0.14687908,0.15247807
0.13946854,0.123775735,0.104773305,0.10516568,0.114626266,0.11005428,0.14014909,0.14119181,0.13481268,0.12788528
0.17423789,0.14834204,0.12325787,0.13660623,0.13593312,0.13622838,0.17630866,0.17697741,0.1678321,0.15775748
0.11407222,0.1061543,0.07512615,0.08537531,0.08985633,0.08949905,0.10366221,0.12101836,0.10677884,0.10258309
0.15624616,0.12778452,0.1144914,0.13367473,0.12529975,0.13063417,0.16460073,0.12888642,0.15203379,0.15367854
0.13912535,0.12785044,0.106567726,0.12442337,0.11767298,0.1250678,0.13423997,0.14763765,0.13348997,0.1321003
0.10778598,0.117110655,0.07562014,0.078291595,0.09001117,0.08248999,0.10129282,0.10747386,0.09438685,0.10288651
0.1548211,0.14802365,0.11628195,0.12229634,0.14605121,0.12828098,0.14994289,0.16167533,0.16420883,0.15043855
0.17903334,0.17126544,0.13902764,0.1639797,0.15661536,0.16420087,0.17886856,0.16336703,0.18368293,0.173584
0.13066,0.12691443,0.11317769,0.1216627,0.11748402,0.11761681,0.13379134,0.11724285,0.13336362,0.12893175
0.14849584,0.121443585,0.101788506,0.11539784,0.11934834,0.1259798,0.13985404,0.14298406,0.1371888,0.14224792
0.14858502,0.12791133,0.11522996,0.13864715,0.12038974,0.13236514,0.14366074,0.1337955,0.14561939,0.14175093
0.1399297,0.13122588,0.09866921,0.12090198,0.108078405,0.11698911,0.12453861,0.13693157,0.12654121,0.13563374
0.1458222,0.12967354,0.10456171,0.11302076,0.12240375,0.113148615,0.14765188,0.15208583,0.1489515,0.13570616
0.15126354,0.12717889,0.109977536,0.12508489,0.11276858,0.12224532,0.15593612,0.13668165,0.13884974,0.14063033
0.13429983,0.1290063,0.10500711,0.110900395,0.1252472,0.1242183,0.12631968,0.12051999,0.13702723,0.13555463
0.13910373,0.12998101,0.114480846,0.12195928,0.12202976,0.12412693,0.14267178,0.1264024,0.1458724,0.14150722
0.15702777,0.1394442,0.11594905,0.12322974,0.12950271,0.12940124,0.15235706,0.1436768,0.1506409,0.15083309
0.117382735,0.1210799,0.09005653,0.096095674,0.09752536,0.10017389,0.1192112,0.12041916,0.11081428,0.111719824
0.15544958,0.13988817,0.105069876,0.11201449,0.11799089,0.11869526,0.13906218,0.16208646,0.1430471,0.14018318
0.12853448,0.1172201,0.08774886,0.10272285,0.09518517,0.10097724,0.12345019,0.12360559,0.108444154,0.11411044
0.13660735,0.11459503,0.09576272,0.1078725,0.09506755,0.100706026,0.124603845,0.13929936,0.109457165,0.12672497
0.14240068,0.13036329,0.09400161,0.099589765,0.1193066,0.10995085,0.13493957,0.138972,0.13975714,0.13469857
0.128868,0.12319795,0.0930835,0.09717195,0.10229652,0.09843301,0.13110596,0.13611783,0.11721174,0.115709275
0.14548278,0.12417196,0.09001482,0.09000607,0.11889937,0.10161325,0.12655945,0.1397476,0.12436538,0.13939841
0.14136186,0.13515754,0.10417316,0.12103668,0.11584733,0.12242161,0.1349085,0.13377279,0.12974411,0.13776986
0.13811894,0.13133612,0.113891706,0.13647512,0.11598711,0.13127127,0.1451672,0.12562883,0.13432725,0.13435908
0.109716415,0.11548454,0.08811932,0.09617253,0.09606875,0.09635828,0.11308613,0.113169625,0.1142396,0.102365844
0.13284057,0.13188219,0.10873884,0.1335729,0.103395954,0.11397316,0.12464216,0.13039625,0.11878338,0.1285388
0.1768496,0.13598886,0.1259851,0.12674828,0.13656135,0.12738551,0.18959366,0.15968163,0.17015451,0.16494961
0.13004653,0.113919616,0.09686382,0.09001453,0.11407529,0.09608778,0.14097215,0.12759858,0.13148105,0.12386881
0.14453104,0.13035077,0.13280158,0.12708828,0.12956463,0.12903768,0.15718451,0.1505382,0.14926317,0.13345793
0.14737406,0.13272181,0.11374469,0.1304561,0.1218534,0.12846807,0.14666331,0.13485102,0.13951199,0.1511158
0.12699623,0.116535485,0.09951154,0.10135429,0.11455447,0.10793013,0.13182501,0.1291915,0.13363785,0.11858241
0.1674986,0.15276939,0.12871647,0.14388216,0.1408026,0.13698855,0.1721907,0.1606326,0.17131758,0.1572023
0.13177209,0.1361046,0.1020714,0.110577345,0.11105943,0.110781774,0.12531477,0.12605064,0.13285746,0.13427612
