assertives,bias,positive,negative,pos_effect,neg_effect,factive_verbs,hedges,implicative_verbs,report_verbs
0.13012019,0.11672186,0.10083485,0.0995531,0.099920854,0.10102894,0.13118087,0.12415678,0.11468226,0.11443691
0.1384956,0.1158704,0.11485092,0.11101913,0.11753007,0.120750286,0.13156752,0.11914874,0.12886779,0.13942185
0.13207994,0.12193585,0.12723048,0.13859719,0.11406528,0.11745282,0.16193743,0.12214925,0.13803522,0.12869693
0.16305047,0.12265951,0.12649788,0.13425009,0.11911009,0.11684773,0.18240562,0.15467957,0.1403735,0.14679639
0.12801033,0.113523096,0.11586925,0.12619583,0.112192005,0.122342594,0.14577328,0.12141886,0.13773046,0.12361557
0.13785934,0.112409346,0.1284551,0.11695576,0.10353936,0.104367755,0.1478508,0.12797183,0.120354705,0.12284527
0.12752852,0.11198646,0.10461705,0.09195697,0.11008441,0.095384724,0.13168107,0.13174279,0.12836961,0.11814643
0.09774019,0.105679505,0.12343974,0.1162635,0.095622845,0.098841764,0.11458021,0.09439732,0.102410264,0.09251184
0.100682415,0.11961948,0.11089766,0.111738354,0.09602967,0.10415697,0.11106257,0.09802264,0.09969985,0.097972065
0.10899076,0.11700198,0.11033435,0.122728884,0.09689409,0.11120073,0.12560795,0.10401096,0.11650262,0.10149786
0.11152965,0.1123788,0.12116045,0.11061245,0.10123199,0.10124756,0.13292284,0.104818664,0.10396156,0.10144611
0.13584918,0.1071621,0.1062681,0.11548673,0.10801455,0.114884965,0.13599567,0.11914889,0.11360714,0.12868892
0.11178626,0.1129668,0.10742449,0.10801995,0.097793356,0.103313275,0.10839848,0.102928214,0.10213276,0.10515959
0.13688225,0.118875876,0.11993885,0.13412565,0.1071154,0.12235243,0.15890414,0.12853526,0.13106172,0.12160965
0.108748466,0.10462184,0.11928866,0.12309903,0.09935504,0.10659749,0.12744784,0.1045859,0.109927505,0.09954385
0.09988032,0.096587256,0.08312252,0.0928821,0.085033596,0.09904331,0.10660794,0.10197159,0.09533302,0.09641168
0.12635483,0.11889768,0.09844073,0.11918584,0.09864856,0.11054673,0.11937196,0.11771115,0.106957145,0.12035814
0.112788685,0.109179504,0.115419924,0.12097904,0.09735162,0.10855777,0.12422536,0.114105746,0.11516383,0.10195901
0.15397447,0.14931116,0.1461149,0.15990148,0.12303588,0.13678811,0.16297837,0.1474284,0.14746687,0.13878128
0.117882274,0.11961258,0.113844484,0.115590096,0.10275096,0.11275285,0.13925947,0.11605936,0.13136612,0.10793323
0.11044136,0.1024215,0.09481099,0.103980824,0.08031236,0.08963706,0.10311401,0.110561684,0.08838806,0.104299136
0.10621082,0.117195114,0.10671612,0.102832004,0.100569166,0.10005196,0.1119947,0.10532974,0.09997093,0.10474668
0.10963635,0.11827182,0.11932872,0.12004242,0.092078,0.097540826,0.10822419,0.117543876,0.104467295,0.09965436
0.12628756,0.11296115,0.100196674,0.104147844,0.101470776,0.11036579,0.12297235,0.11548425,0.11952988,0.11111572
0.112827905,0.10995933,0.1262117,0.107790485,0.11784903,0.108311445,0.14430204,0.10536937,0.122251235,0.116185196
0.108059295,0.10131093,0.1034813,0.09118262,0.1064893,0.09848387,0.11437098,0.09726622,0.10394256,0.1073998
0.14606282,0.12612218,0.12189229,0.13062736,0.11405319,0.12491823,0.16590796,0.12916148,0.14128937,0.13227473
0.12358998,0.11717154,0.10656229,0.1150607,0.10513082,0.11201284,0.12862928,0.121389374,0.119202346,0.111676835
0.14367639,0.1162718,0.13102323,0.14239106,0.11920662,0.13369377,0.16139546,0.1262206,0.13731451,0.13777529
0.115516126,0.115512945,0.10879794,0.11354793,0.09185058,0.09800334,0.11764218,0.11184626,0.10503296,0.10580982
0.13597596,0.120785505,0.11315232,0.11938103,0.10926071,0.1178392,0.14678575,0.121835455,0.13227086,0.13020338
0.14133824,0.11942729,0.12164334,0.13416542,0.11368342,0.12003795,0.15344664,0.13922253,0.13349439,0.12723167
0.12830919,0.1183221,0.10148656,0.11928839,0.1041999,0.11967432,0.11764158,0.116653994,0.11771669,0.12247137
0.11262321,0.108333394,0.11065272,0.1007342,0.09715826,0.09321653,0.12498342,0.104064256,0.09662923,0.10223837
0.10072802,0.10947264,0.10824944,0.11130905,0.09289458,0.1058571,0.11138998,0.09637895,0.09855239,0.09522148
0.13813637,0.11595239,0.11055925,0.13167574,0.10987756,0.12146081,0.14462127,0.12554517,0.13489793,0.13048634
0.11305137,0.12013462,0.116501294,0.13358977,0.094772495,0.11463194,0.11904918,0.106779,0.10369028,0.10400217
0.097624205,0.11347538,0.091394335,0.11324785,0.08882638,0.10407132,0.10534529,0.09653576,0.1027885,0.09121565
0.08854372,0.09928607,0.09709578,0.09846589,0.08119617,0.08983278,0.096349105,0.08525948,0.086624116,0.0863938
0.1260689,0.09974806,0.09554562,0.09373209,0.1017301,0.09705557,0.119691655,0.12346323,0.1051215,0.11081835
0.12243618,0.107218064,0.10780047,0.103630416,0.09659019,0.09973729,0.13682802,0.11804222,0.10889416,0.11427067
